,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
779,ASUS,AMD,Ryzen 7,Not Available,4,DDR5,1024,0,Windows,4,Casual,1 year,No,No,114990,3.0,0,0
780,acer,AMD,Ryzen 7,Not Available,4,DDR4,1024,0,Windows,4,Casual,1 year,No,No,99990,3.0,0,0
781,ASUS,AMD,Ryzen 7,Not Available,4,DDR4,1024,0,Windows,4,Gaming,No warranty,No,No,95990,4.0,57,3
783,ASUS,AMD,Ryzen 7,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,Yes,76990,3.0,0,0
784,Lenovo,AMD,Ryzen 7,Not Available,4,DDR4,1024,0,Windows,6,Casual,1 year,No,Yes,130990,3.0,0,0
785,ASUS,AMD,Ryzen 7,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,No,99990,3.0,0,0
786,ASUS,AMD,Ryzen 7,Not Available,4,DDR5,1024,0,Windows,4,Casual,No warranty,No,No,112990,3.0,0,0
787,Lenovo,AMD,Ryzen 7,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,Yes,77988,3.0,0,0
788,ASUS,AMD,Ryzen 7,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,Yes,76000,5.0,1,1
789,ASUS,AMD,Ryzen 7,Not Available,4,LPDDR4X,1024,0,Windows,4,Casual,1 year,Yes,No,99990,4.0,77,15
790,ASUS,AMD,Ryzen 7,Not Available,4,DDR4,1024,0,Windows,0,Casual,1 year,No,No,111000,3.0,0,0
791,ASUS,AMD,Ryzen 7,Not Available,16,LPDDR4X,1024,0,Windows,0,ThinNlight,1 year,No,Yes,84970,3.0,2,1
792,HP,AMD,Ryzen 7,Not Available,16,DDR4,256,1024,Windows,4,Gaming,1 year,No,Yes,75990,4.0,1084,123
793,acer,AMD,Ryzen 7,Not Available,16,DDR4,256,1024,Windows,6,Casual,1 year,No,No,89990,4.0,272,36
794,acer,AMD,Ryzen 7,Not Available,16,DDR4,256,1024,Windows,4,Casual,No warranty,No,No,81990,4.0,141,24
795,Lenovo,AMD,Ryzen 7,Not Available,4,DDR4,512,1024,Windows,0,Casual,No warranty,No,No,80490,3.0,0,0
796,ASUS,AMD,Ryzen 9,Not Available,16,DDR4,1024,0,Windows,6,Casual,1 year,No,No,135990,3.0,0,0
797,ASUS,AMD,Ryzen 9,Not Available,16,DDR4,1024,0,Windows,0,Casual,1 year,No,No,154990,4.0,194,42
799,ASUS,AMD,Ryzen 9,Not Available,16,DDR4,1024,0,Windows,4,Casual,No warranty,No,No,114990,4.0,28,4
800,ASUS,AMD,Ryzen 9,Not Available,16,DDR4,1024,0,Windows,6,Casual,1 year,No,Yes,129990,4.0,204,35
